store_id,transaction_id,timestamp,basket_value_inr
STORE_BLR_002,TXN_1001,2026-05-29T18:31:47Z,1250.50
STORE_BLR_002,TXN_1002,2026-05-29T18:33:21Z,890.00
STORE_BLR_002,TXN_1003,2026-05-29T18:34:41Z,2300.00
STORE_BLR_002,TXN_1004,2026-05-29T18:35:34Z,450.00
STORE_BLR_002,TXN_1005,2026-05-29T18:36:41Z,3120.00
STORE_BLR_002,TXN_1006,2026-05-29T18:37:34Z,1750.00
STORE_BLR_002,TXN_1007,2026-05-29T18:38:27Z,950.00
STORE_BLR_002,TXN_1008,2026-05-29T18:39:21Z,120.00
STORE_BLR_002,TXN_1009,2026-05-29T18:40:01Z,1890.00
STORE_BLR_002,TXN_1010,2026-05-29T18:41:21Z,2750.00
